Commodity,Net import reliance as a percentage of apparent consumption (%),Major Import Sources,Country Class
"ARSENIC, all forms",100,China,Competitors
,,Morocco,
,,Belgium,Allies
ASBESTOS,100,Brazil,Neutral
,,Russia,Competitors
CESIUM,100,Germany,Allies
,,China,Competitors
FLUORSPAR,100,Mexico,Neutral
,,Vietnam,
,,South Africa,Neutral
,,Canada,Allies
GALLIUM,100,China,Competitors
,,United Kingdom,Allies
,,Germany,Allies
,,Ukraine,
GRAPHITE (NATURAL),100,China,Competitors
,,Mexico,Neutral
,,Canada,Allies
,,India,Allies
INDIUM,100,China,Competitors
,,Canada,Allies
,,Republic of Korea ,
,,France,Allies
MANGANESE,100,Gabon,
,,South Africa,Neutral
,,Australia,Neutral
,,Georgia,
"MICA (NATURAL), sheet",100,China,Competitors
,,Brazil,Neutral
,,Belgium,Allies
,,India,Allies
NEPHELINE SYENITE,100,Canada,Allies
NIOBIUM (COLUMBIUM),100,Brazil,Neutral
,,Canada,Allies
RUBIDIUM,100,Germany,Allies
SCANDIUM,100,Europe,
,,China,Competitors
,,Japan ,Allies
,,Russia,Competitors
STRONTIUM,100,Mexico,Neutral
,,Germany,Allies
,,China,Competitors
TANTALUM,100,China,Competitors
,,Germany,Allies
,,Australia,Neutral
,,Indonesia,
VANADIUM,100,Canada,Allies
,,China,Competitors
,,Brazil,Neutral
,,South Africa,Neutral
YTTRIUM,100,China,Competitors
,,Republic of Korea ,
,,Japan,Allies
