Commodity,Major Import Sources,,,
"ARSENIC, all forms",China,,,
,Morocco,,,
,Belgium,,,
ASBESTOS,Brazil,,,
,Russia,,,
CESIUM,Germany,,,
,China,,,
FLUORSPAR,Mexico,,,
,Vietnam,,,
,South Africa,,,
,Canada,,,
GALLIUM,China,,,
,United Kingdom,,,
,Germany,,,
,Ukraine,,,
GRAPHITE (NATURAL),China,,,
,Mexico,,,
,Canada,,,
,India,,,
INDIUM,China,,,
,Canada,,,
,Republic of Korea ,,,
,France,,,
MANGANESE,Gabon,,,
,South Africa,,,
,Australia,,,
,Georgia,,,
"MICA (NATURAL), sheet",China,,,
,Brazil,,,
,Belgium,,,
,India,,,
NEPHELINE SYENITE,Canada,,,
NIOBIUM (COLUMBIUM),Brazil,,,
,Canada,,,
RUBIDIUM,Germany,,,
SCANDIUM,Europe,,,
,China,,,
,Japan ,,,
,Russia,,,
STRONTIUM,Mexico,,,
,Germany,,,
,China,,,
TANTALUM,China,,,
,Germany,,,
,Australia,,,
,Indonesia,,,
VANADIUM,Canada,,,
,China,,,
,Brazil,,,
,South Africa,,,
YTTRIUM,China,,,
,Republic of Korea ,,,
,Japan,,,
GEMSTONES,India,,,
,Israel,,,
,Belgium,,,
,South Africa,,,
TELLURIUM,Canada,,,
,Germany,,,
,China,,,
,Philippines,,,
POTASH,Canada,,,
,Russia,,,
,Belarus,,,
"IRON OXIDE PIGMENTS, natural and synthetic",China,,,
,Gemany,,,
,Brazil,,,
"RARE EARTHS,3 compounds and metals",China,,,
,Estonia,,,
,Malaysia,,,
,Japan,,,
"TITANIUM, sponge",Japan,,,
,Kazakhstan,,,
,Ukraine,,,
BISMUTH,China,,,
,Republic of Korea ,,,
,Mexico,,,
,Belgium,,,
TITANIUM MINERAL CONCENTRATES,South Africa,,,
,Australia,,,
,Madagascar,,,
,Mozambique,,,
"ANTIMONY, metal and oxide",China,,,
,Belgium,,,
,India,,,
STONE (DIMENSION),China,,,
,Brazil,,,
,Italy,,,
,India,,,
CHROMIUM,South Africa,,,
,Kazakhstan,,,
,Russia,,,
,Mexico,,,
PEAT,Canada,,,
SILVER,Mexico,,,
,Canada,,,
,Chile,,,
,Poland,,,
"TIN, refined",Indonesia,,,
,Peru,,,
,Malaysia,,,
,Bolvia,,,
COBALT,Norway,,,
,Canada,,,
,Japan,,,
,Finland,,,
"DIAMOND (INDUSTRIAL), stones",South Africa,,,
,India,,,
,Congo(Kinshasa),,,
,Botswana,,,
"ZINC, refined",Canada,,,
,Mexico,,,
,Peru,,,
,Spain,,,
"ABRASIVES, crude fused aluminum oxide",China,,,
,France,,,
,Behrain,,,
,Russia,,,
BARITE,China,,,
,India,,,
,Morocco,,,
,Mexico,,,
BAUXITE,Jamaica,,,
,Brazil,,,
,Guyana,,,
,Australia,,,
SELENIUM,Philippines,,,
,China,,,
,Mexico,,,
,Germany,,,
RHENIUM,Chile,,,
,Canada,,,
,Kazakhstan,,,
,Japan,,,
PLATINUM,South Africa,,,
,Germany,,,
,Switzerland ,,,
,Italy,,,
ALUMINA,Brazil,,,
,Australia,,,
,Jamaica,,,
,Canada,,,
GARNET (INDUSTRIAL),South Africa,,,
,China,,,
,India,,,
,Australia,,,
MAGNESIUM COMPOUNDS,China,,,
,Brazil,,,
,Israel,,,
,Canada,,,
"ABRASIVES, crude silicon carbide",China,,,
,Netherlands,,,
,South Africa,,,
GERMANIUM,China,,,
,Belgium,,,
,Germany,,,
,Russia,,,
IODINE,Chile,,,
,Japan,,,
TUNGSTEN,China,,,
,Bolivia,,,
,Germany,,,
,Canada,,,
CADMIUM,Australia,,,
,China,,,
,Germany,,,
,Peru,,,
MAGNESIUM METAL,Canada,,,
,Israel,,,
,Mexico,,,
NICKEL,Canada,,,
,Norway,,,
,Finland,,,
,Australia,,,
"COPPER, refined",Chile,,,
,Canada,,,
,Mexico,,,
ALUMINUM,Canada,,,
,United Arab Emirates,,,
,Russia,,,
,China,,,
"DIAMOND (INDUSTRIAL), bort, grit, dust, and powder",China,,,
,Ireland,,,
,Republic of Korea ,,,
,Russia,,,
"LEAD, refined",Canada,,,
,Mexico,,,
,Republic of Korea ,,,
,India,,,
PALLADIUM,Russia,,,
,South Africa,,,
,Germany,,,
FELDSPAR,Turkey,,,
"SILICON, metal and ferrosilicon",Russia,,,
,Brazil,,,
,Canada,,,
,Norway,,,
SALT,Chile,,,
,Canada,,,
,Mexico,,,
,Egypt,,,
"MICA (NATURAL), scrap and flake",Canada,,,
,China,,,
,India,,,
LITHIUM,Argentina,,,
,Chile,,,
,China,,,
,Russia,,,
BROMINE,Israel,,,
,Jordan,,,
,China,,,
"ZIRCONIUM, ores and concentrates",South Africa,,,
,Senegal,,,
,Australia,,,
,Russia,,,
PERLITE,Greece,,,
,China,,,
,Mexico,,,
,Turkey,,,
VERMICULITE,South Africa,,,
,Brazil,,,
