Commodity,Net import reliance as a percentage of apparent consumption (%),Major Import Sources
"ARSENIC, all forms",100,"China, Morocco, Belgium"
ASBESTOS,100,"Brazil, Russia"
CESIUM,100,"Germany, China"
FLUORSPAR,100,"Mexico, Vietnam, South Africa, Canada"
GALLIUM,100,"China, United Kingdom, Germany, Ukraine"
GRAPHITE (NATURAL),100,"China, Mexico, Canada, India"
INDIUM,100,"China, Canada, Republic of Korea, France"
MANGANESE,100,"Gabon, South Africa, Australia, Georgia"
"MICA (NATURAL), sheet",100,"China, Brazil, Belgium, India"
NEPHELINE SYENITE,100,Canada
NIOBIUM (COLUMBIUM),100,"Brazil, Canada"
RUBIDIUM,100,Germany
SCANDIUM,100,"Europe, China, Japan, Russia"
STRONTIUM,100,"Mexico, Germany, China"
TANTALUM,100,"China, Germany, Australia, Indonesia"
VANADIUM,100,"Canada, China, Brazil, South Africa"
YTTRIUM,100,"China, Republic of Korea, Japan"
GEMSTONES,99,"India, Israel, Belgium, South Africa"
TELLURIUM,>95,"Canada, Germany, China, Philippines"
POTASH,93,"Canada, Russia, Belarus"
"IRON OXIDE PIGMENTS, natural and synthetic",91,"China, Germany, Brazil"
"RARE EARTHS,3 compounds and metals",>90,"China, Estonia, Malaysia, Japan"
"TITANIUM, sponge",>90,"Japan, Kazakhstan, Ukraine"
BISMUTH,90,"China, Republic of Korea, Mexico, Belgium"
TITANIUM MINERAL CONCENTRATES,90,"South Africa, Australia, Madagascar, Mozambique"
"ANTIMONY, metal and oxide",84,"China, Belgium, India"
STONE (DIMENSION),84,"China, Brazil, Italy, India"
CHROMIUM,80,"South Africa, Kazakhstan, Russia, Mexico"
PEAT,80,Canada
SILVER,79,"Mexico, Canada, Chile, Poland"
"TIN, refined",78,"Indonesia, Peru, Malaysia, Bolivia"
COBALT,76,"Norway, Canada, Japan, Finland"
"DIAMOND (INDUSTRIAL), stones",76,"South Africa, India, Congo (Kinshasa), Botswana"
"ZINC, refined",76,"Canada, Mexico, Peru, Spain"
"ABRASIVES, crude fused aluminum oxide",>75,"China, France, Bahrain, Russia"
BARITE,>75,"China, India, Morocco, Mexico"
BAUXITE,>75,"Jamaica, Brazil, Guyana, Australia"
SELENIUM,>75,"Philippines, China, Mexico, Germany"
RHENIUM,72,"Chile, Canada, Kazakhstan, Japan"
PLATINUM,70,"South Africa, Germany, Switzerland, Italy"
ALUMINA,58,"Brazil, Australia, Jamaica, Canada"
GARNET (INDUSTRIAL),56,"South Africa, China, India, Australia"
MAGNESIUM COMPOUNDS,55,"China, Brazil, Israel, Canada"
"ABRASIVES, crude silicon carbide",>50,"China, Netherlands, South Africa"
GERMANIUM,>50,"China, Belgium, Germany, Russia"
IODINE,>50,"Chile, Japan"
TUNGSTEN,>50,"China, Bolivia, Germany, Canada"
CADMIUM,<50,"Australia, China, Germany, Peru"
MAGNESIUM METAL,<50,"Canada, Israel, Mexico"
NICKEL,48,"Canada, Norway, Finland, Australia"
"COPPER, refined",45,"Chile, Canada, Mexico"
ALUMINUM,44,"Canada, United Arab Emirates, Russia, China"
"DIAMOND (INDUSTRIAL), bort, grit, dust, and powder",41,"China, Ireland, Republic of Korea, Russia"
"LEAD, refined",38,"Canada, Mexico, Republic of Korea, India"
PALLADIUM,37,"Russia, South Africa, Germany"
FELDSPAR,32,Turkey
"SILICON, metal and ferrosilicon",32,"Russia, Brazil, Canada, Norway"
SALT,29,"Chile, Canada, Mexico, Egypt"
"MICA (NATURAL), scrap and flake",28,"Canada, China, India"
LITHIUM,>25,"Argentina, Chile, China, Russia"
BROMINE,<25,"Israel, Jordan, China"
"ZIRCONIUM, ores and concentrates",<25,"South Africa, Senegal, Australia, Russia"
PERLITE,23,"Greece, China, Mexico, Turkey"
VERMICULITE,20,"South Africa, Brazil"
