State,Pop 2023
ALABAMA,5098746
ALASKA,732984
AMERICAN SAMOA,NA
ARIZONA,7453517
ARKANSAS,3063152
CALIFORNIA,38915693
COLORADO,5868555
CONNECTICUT,3629055
DELAWARE,1031985
DISTRICT OF COLUMBIA,674815
FLORIDA,22661577
GEORGIA,11037723
GUAM,NA
HAWAII,1433238
IDAHO,1973752
ILLINOIS,12477595
INDIANA,6852542
IOWA,3203345
KANSAS,2936378
KENTUCKY,4518031
LOUISIANA,4553384
MAINE,1393442
MARYLAND,6154710
MASSACHUSETTS,6974258
MICHIGAN,10030722
MINNESOTA,5722897
MISSISSIPPI,2930528
MISSOURI,6186091
MONTANA,1139507
NEBRASKA,1972292
NEVADA,3209142
NEW HAMPSHIRE,1402957
NEW JERSEY,9255437
NEW MEXICO,2110011
NEW YORK,19496810
NORTH CAROLINA,10832061
NORTH DAKOTA,780588
NORTHERN MARIANA ISLANDS,NA
OHIO,11747774
OKLAHOMA,4048375
OREGON,4223973
PENNSYLVANIA,12931957
PUERTO RICO,3180885
RHODE ISLAND,1090483
SOUTH CAROLINA,5372002
SOUTH DAKOTA,923484
TENNESSEE,7134327
TEXAS,30500280
TRIBAL COMMUNITIES,NA
US VIRGIN ISLANDS,NA
UTAH,3422487
VERMONT,647156
VIRGINIA,8709873
WASHINGTON,7830827
WEST VIRGINIA,1764786
WISCONSIN,5904977
WYOMING,583279
